## net.sf.picard.metrics.StringHeader
# net.sf.picard.sam.MarkDuplicates INPUT=[/share/crsp/lab/seyedam/erebboah/bulk_atac_pipeline/C2C12_MB_IR1/mapped/C2C12_MB_IR1.sort.bam] OUTPUT=/share/crsp/lab/seyedam/erebboah/bulk_atac_pipeline/C2C12_MB_IR1/mapped/C2C12_MB_IR1.sort.nodup.bam METRICS_FILE=/share/crsp/lab/seyedam/erebboah/bulk_atac_pipeline/C2C12_MB_IR1/mapped/C2C12_MB_IR1.duplicates_metric.txt REMOVE_DUPLICATES=true    PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates ASSUME_SORTED=false MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Mon Mar 15 08:24:54 PDT 2021

## METRICS CLASS	net.sf.picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	110785	10186353	1938609	59760	1174079	176343	0.117554	46818576

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.015771
2.0	1.832929
3.0	2.490308
4.0	3.019151
5.0	3.444589
6.0	3.786841
7.0	4.062174
8.0	4.28367
9.0	4.461858
10.0	4.605205
11.0	4.720523
12.0	4.813293
13.0	4.887924
14.0	4.947962
15.0	4.996261
16.0	5.035116
17.0	5.066374
18.0	5.09152
19.0	5.11175
20.0	5.128023
21.0	5.141115
22.0	5.151647
23.0	5.16012
24.0	5.166936
25.0	5.172419
26.0	5.17683
27.0	5.180379
28.0	5.183234
29.0	5.18553
30.0	5.187378
31.0	5.188864
32.0	5.19006
33.0	5.191022
34.0	5.191796
35.0	5.192418
36.0	5.192919
37.0	5.193322
38.0	5.193646
39.0	5.193906
40.0	5.194116
41.0	5.194285
42.0	5.194421
43.0	5.19453
44.0	5.194618
45.0	5.194688
46.0	5.194745
47.0	5.194791
48.0	5.194828
49.0	5.194857
50.0	5.194881
51.0	5.1949
52.0	5.194916
53.0	5.194928
54.0	5.194938
55.0	5.194946
56.0	5.194953
57.0	5.194958
58.0	5.194962
59.0	5.194965
60.0	5.194968
61.0	5.19497
62.0	5.194972
63.0	5.194973
64.0	5.194975
65.0	5.194975
66.0	5.194976
67.0	5.194977
68.0	5.194977
69.0	5.194978
70.0	5.194978
71.0	5.194978
72.0	5.194978
73.0	5.194979
74.0	5.194979
75.0	5.194979
76.0	5.194979
77.0	5.194979
78.0	5.194979
79.0	5.194979
80.0	5.194979
81.0	5.194979
82.0	5.194979
83.0	5.194979
84.0	5.194979
85.0	5.194979
86.0	5.194979
87.0	5.194979
88.0	5.194979
89.0	5.194979
90.0	5.194979
91.0	5.194979
92.0	5.194979
93.0	5.194979
94.0	5.194979
95.0	5.194979
96.0	5.194979
97.0	5.194979
98.0	5.194979
99.0	5.194979
100.0	5.194979

